City,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
106,Port Elizabeth,ZA,62.89,-33.918,25.5701,clear sky,39 On Nile Guest House
107,Yamada,JP,64.56,39.4667,141.95,overcast clouds,Iroha-ya Inn
108,Kruisfontein,ZA,54.88,-34.0033,24.7314,clear sky,Oyster Bay House Rental
109,Agadir,MA,64.85,30.4202,-9.5982,few clouds,Iberostar Founty Beach
110,Matara,LK,76.73,5.9485,80.5353,overcast clouds,Amaloh Boutique Resort
111,Alofi,NU,80.49,-19.0595,-169.9187,overcast clouds,Taloa Heights
112,Rocha,UY,54.61,-34.4833,-54.3333,clear sky,Beleza Pura B&B
113,Dalianwan,CN,66.24,39.0286,121.695,light rain,Huanghai Hotel
114,Ribeira Grande,PT,68.2,38.5167,-28.7,broken clouds,Quinta da Meia Eira
116,Cayenne,GF,83.08,4.9333,-52.3333,broken clouds,Hôtel Le Dronmi
117,Marrakesh,MA,69.87,31.6315,-8.0083,clear sky,Novotel Marrakech Hivernage
118,Port Hardy,CA,57.2,50.6996,-127.4199,light rain,Airport Inn
119,Kuandian,CN,61.65,40.7286,124.7847,light rain,Hi Inn Dandong Kuandian Ji Xian Garden
120,Broome,US,58.57,42.2506,-75.833,few clouds,Chenango Valley State Park
121,Geraldton,AU,66.61,-28.7667,114.6,scattered clouds,Broadwater Mariner Resort
122,Apiai,BR,57.6,-24.5094,-48.8425,scattered clouds,Pousada Villa Branca
123,Beppu,JP,79.48,33.2736,131.4919,scattered clouds,Seikaiso
124,Hamilton,US,65.84,39.1834,-84.5333,clear sky,Six Acres Bed & Breakfast
125,Mandera,KE,76.96,3.9366,41.867,clear sky,Kornesh Hotel and Lodging
127,Castro,BR,63.05,-24.7911,-50.0119,clear sky,CHACARA BAILLY
128,Snyder,US,80.94,32.7179,-100.9176,clear sky,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
129,Hermanus,ZA,58.89,-34.4187,19.2345,broken clouds,Misty Waves Boutique Hotel
130,Kangaba,ML,72.0,11.9333,-8.4167,moderate rain,Hôtel Mandé
131,Bubaque,GW,83.43,11.2833,-15.8333,overcast clouds,"Casa Dora, Bubaque"
133,Ketchikan,US,51.78,55.3422,-131.6461,moderate rain,Snow's Cove Lodge
136,Bambous Virieux,MU,68.25,-20.3428,57.7575,light intensity shower rain,Casa Tia Villa
137,Tautira,PF,84.22,-17.7333,-149.15,few clouds,Pension Oaoa
139,Moree,AU,71.62,-29.4667,149.85,broken clouds,Molika Springs Motel
140,Shingu,JP,74.39,33.7333,135.9833,overcast clouds,Shingu UI Hotel
141,Papara,BR,82.72,-3.9839,-38.7273,scattered clouds,Romin
142,Itoman,JP,86.02,26.1247,127.6694,few clouds,Southern Beach Hotel & Resort Okinawa
143,Gasa,PS,76.98,31.5,34.4667,clear sky,رابطة الفنانين الفلسطينيين
144,Gat,IL,76.91,31.61,34.7642,clear sky,OlusHome
145,Lata,PT,64.04,40.1629,-8.3327,overcast clouds,Casa Maquia
146,East London,ZA,66.0,-33.0153,27.9116,broken clouds,Tu Casa
147,La Macarena,CO,75.4,2.1837,-73.7849,clear sky,Hotel Punto Verde
148,Carnarvon,AU,68.07,-24.8667,113.6333,scattered clouds,Hospitality Carnarvon
149,Blankenberge,BE,60.01,51.3131,3.1323,few clouds,Hotel Concordia
151,Puerto Ayora,EC,69.28,-0.7393,-90.3518,overcast clouds,Finch Bay Galapagos Hotel
152,Talavera,PH,83.66,15.6167,120.9333,few clouds,R&G's Resort
153,Labuhan,ID,80.82,-6.8844,112.2051,few clouds,PT PPI Lamongan Tambak C
156,Pacific Grove,US,71.62,36.6177,-121.9166,broken clouds,Lovers Point Inn
157,Shibetsu,JP,65.1,43.659,145.132,few clouds,Hotel Kawabata Shibetsu
158,Coquimbo,CL,55.13,-29.9533,-71.3436,clear sky,Punto de encuentro
159,San Quintin,MX,68.49,30.4833,-115.95,scattered clouds,Don Eddie's Sport Fishing Center
160,Luwuk,ID,83.46,-0.9516,122.7875,overcast clouds,Hotel Santika Luwuk
162,Port Macquarie,AU,65.37,-31.4333,152.9167,overcast clouds,Rydges Port Macquarie
164,Rincon,US,74.86,32.296,-81.2354,clear sky,Days Inn Rincon
166,Pergamino,AR,66.25,-33.89,-60.5736,clear sky,Hotel Fachinat
169,Chuy,UY,57.4,-33.6971,-53.4616,few clouds,Nuevo Hotel Plaza
170,Prince Rupert,CA,51.89,54.3161,-130.3201,moderate rain,Crest Hotel
171,Stephenville,US,78.8,32.2207,-98.2023,clear sky,La Quinta Inn & Suites by Wyndham Stephenville
175,Esperance,AU,58.84,-33.8667,121.9,broken clouds,Hospitality Esperance
176,Hirara,JP,87.66,24.8,125.2833,few clouds,Hotel Atoll Emerald Miyakojima
177,Makakilo City,US,88.12,21.3469,-158.0858,few clouds,Marriott's Ko Olina Beach Club
178,Sambava,MG,70.9,-14.2667,50.1667,light rain,Melrose
179,Vila Franca Do Campo,PT,70.2,37.7167,-25.4333,overcast clouds,Pestana Bahia Praia
180,Prado,BR,73.31,-17.3411,-39.2208,broken clouds,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
181,Urumqi,CN,52.75,43.801,87.6005,clear sky,Hua Ling Grand Hotel Urumqi
183,Lalmohan,BD,83.21,22.3384,90.7419,overcast clouds,Sundorbon courier service
184,Ballitoville,ZA,63.25,-29.539,31.2144,clear sky,Hampshire Hotel-Ballito
186,Cidreira,BR,64.8,-30.1811,-50.2056,clear sky,Hotel Castelo
188,Santa Maria,BR,61.9,-29.6842,-53.8069,clear sky,Hotel Morotin
189,Saint-Joseph,RE,67.21,-21.3667,55.6167,light rain,"""Plantation Bed and Breakfast"
191,Tubuala,PA,80.71,9.5167,-79.0333,overcast clouds,Río Nabagana
193,Mataram,ID,85.01,-8.5833,116.1167,broken clouds,Hotel Santika Mataram
194,Faya,SA,63.12,18.3851,42.4509,clear sky,املاك خالد الشعشوع
196,Kijang,KR,74.93,35.2442,129.2139,broken clouds,Samyang Beach Villa
197,Sciacca,IT,76.1,37.5082,13.0881,few clouds,Hotel Aliai
198,Fortuna,US,68.41,40.5982,-124.1573,broken clouds,Super 8 by Wyndham Fortuna
199,Fallon,US,84.45,39.4735,-118.7774,haze,Best Western Fallon Inn & Suites
200,Ucluelet,CA,57.09,48.9329,-125.5528,overcast clouds,Black Rock Oceanfront Resort
202,Odienne,CI,70.41,9.51,-7.5692,overcast clouds,Oustaz Vame DIAKITE
203,Adana,TR,69.82,36.985,35.2881,clear sky,Güney Adana Otel
204,Bucksport,US,57.76,44.5737,-68.7956,clear sky,Fort Knox Park Inn
205,Torbay,CA,54.75,47.6666,-52.7314,scattered clouds,Gallows Cove
206,Poso,ID,84.45,-1.3959,120.7524,broken clouds,Hotel 77 Poso
207,Tabas,IR,72.7,33.5959,56.9244,clear sky,شرکت معماری مهراز شایگان آراد
209,Acandi,CO,78.42,8.5063,-77.2778,broken clouds,Hotel Patio Bonito
210,Huarmey,PE,63.32,-10.0681,-78.1522,scattered clouds,Hotel Miramar
212,Bethel,US,63.57,41.3712,-73.414,clear sky,Courtyard by Marriott Danbury
213,Abu Dhabi,AE,89.62,24.4667,54.3667,overcast clouds,Ramee Garden Hotel Apartments
214,Emirdag,TR,55.78,39.0197,31.15,clear sky,Emirdağ Öğretmenevi
216,San Carlos Del Zulia,VE,80.89,9.0,-71.9135,clear sky,Hotel El Manantial
218,Son La,VN,70.21,21.3167,103.9,broken clouds,Galaxy Grand Hotel
219,Warrnambool,AU,61.81,-38.3833,142.4833,scattered clouds,Lady Bay Resort
220,Cabra,ES,70.39,37.4725,-4.4421,overcast clouds,MS Fuente Las Piedras
222,Taltal,CL,62.26,-25.4,-70.4833,clear sky,Residencial Karime
223,Nichinan,JP,81.55,31.6,131.3667,overcast clouds,Guest House Aki
225,Ntcheu,MW,65.98,-14.8203,34.6359,few clouds,Dear Executive Lodge
226,Pimenta Bueno,BR,78.87,-11.6725,-61.1936,broken clouds,Cristalina Palace Hotel
228,Fort-Shevchenko,KZ,65.21,44.5086,50.263,overcast clouds,Oasis hotel Bautino
230,Hervey Bay,AU,75.31,-25.2986,152.8535,overcast clouds,Shelly Bay Resort
231,Akyab,MM,78.04,20.15,92.9,light rain,Hotel Memory
233,Sabang,ID,81.48,5.8933,95.3214,light rain,Hotel Citra
234,Mahebourg,MU,68.29,-20.4081,57.7,light intensity shower rain,Shandrani Beachcomber Resort & Spa
235,Goderich,CA,62.92,43.7501,-81.7165,overcast clouds,Harmony Inn
236,Cabedelo,BR,75.87,-6.9811,-34.8339,scattered clouds,Hotel Pigalle
237,Gander,CA,53.73,48.9682,-54.5906,broken clouds,Quality Hotel & Suites
239,Kuala Terengganu,MY,80.55,5.3302,103.1408,few clouds,Hotel Grand Continental Kuala Terengganu (4 Star)
240,Namibe,AO,61.93,-15.1961,12.1522,scattered clouds,Hotel Chik Chik Namibe
242,Auki,SB,83.7,-8.7676,160.7034,overcast clouds,Auki Motel
244,Bonavista,CA,53.11,48.6499,-53.1147,overcast clouds,Abbott's Bed & Breakfast
246,Buluang,PH,83.91,13.3068,123.3425,overcast clouds,Enon Beach Resort
247,Viljoenskroon,ZA,66.74,-27.2084,26.9485,few clouds,DIE LAPA
248,Kloulklubed,PW,86.5,7.0419,134.2556,broken clouds,Storyboard Beach Resort
